"SP nr 221 im. Barbary Bronisławy Czarnowskiej	Ogrodowa 42/44	""Basketball							"""
"SP nr 222 im. Jana Brzechwy	Esperanto 7A	""Basketball							"""
"SP nr 225 im. Józefa Gardeckiego	J. Brożka 15	""Volleyball							"""
"SP nr 227 im. kapitana Lucyny Hertz	Astronautów 17	""Volleyball							"""
"SP nr 23 im. Edwarda Szymańskiego	Wawelska 48	""Handball							"""
"SP nr 231 im. Gen. Mariusza Zaruskiego	Juranda ze Spychowa 10	""Handball							"""
"SP nr 234 im. Juliana Tuwima	Esperanto 5	""Football							"""
"SP nr 238 im. Christo Botewa	Redutowa 37	""Football							"""
"SP nr 246 im. I WDP im. Tadeusza Kościuszki	Białowieska 22	""Volleyball							"""
"SP nr 25 im. Komisji Edukacji Narodowej	Grzybowska 35	""Football							"""
"SP nr 255 im. Cypriana Kamila Norwida	Kamionkowska 36/44	""Volleyball							"""
"SP nr 257 im. prof. M. Falskiego	Podróżnicza 11	""Basketball							"""
"SP nr 258 im. gen. Jakuba Jasińskiego	B. Brechta 8	""Handball							"""
"SP nr 264 im. Gabrieli Mistral	W. Skorochód-Majewskiego 17	""Basketball							"""
"SP nr 267 im. Juliusza Słowackiego	Braci Załuskich 1	""Handball							"""
"SP nr 273 im. dr. Aleksandra Landy	J. Balcerzaka 1	""Football							"""
"SP nr 275 z Oddziałami Integracyjnymi im. Artura Oppmana	Św. Hieronima 2	""Handball							"""
"SP nr 277 im. Elizy Orzeszkowej	Suwalska 29	""Handball							"""
"SP nr 279 im. Batalionów AK GUSTAW I HARNAŚ	Cyrklowa 1	""Handball							"""
"SP nr 28 im. Stefana Żeromskiego	Gościeradowska 18/20	""Handball							"""
"SP nr 285 im. Jana Marcina Szancera	Turmoncka 20	""Football							"""
"SP nr 29 im. Giuseppe Garibaldiego	Fabryczna 19	""Basketball							"""
"SP nr 293 im.J.Kochanowskiego	J. Kochanowskiego 8	""Basketball							"""
"SP nr 298 im. Jana Kasprowicza	Krakusa 2	""Handball							"""
"SP nr 303 im. Fryderyka Chopina	Koncertowa 8	""Volleyball							"""
"SP Nr 306 im. ks. Jana Twardowskiego	Tkaczy 27	""Football							"""
"SP nr 307 im. Jana III Sobieskiego	Barcelońska 8	""Basketball							"""
"SP nr 312 im. Ewy Szelburg - Zarembiny	W. Umińskiego 12	""Football							"""
"SP nr 313 im. Polskich Odkrywców	J. Cybisa 1	""Basketball							"""
"SP nr 314 im. Przyjaciół Ziemi	Porajów 3	""Basketball							"""
"SP nr 318 im. J.Ch. Andersena	L. Teligi 3	""Basketball							"""
"SP nr 319 im. Marii Kann	Związku Walki Młodych 10	""Basketball							"""
"SP nr 32 z Oddziałami Integracyjnymi im. Małego Powstańca	J. Lewartowskiego 2	""Basketball							"""
"SP Nr 321	W. Szadkowskiego 3	""Volleyball							"""
"SP nr 322 im. Jana Brzechwy	E. Dembowskiego 9	""Football							"""
"SP nr 33 im. Wojsk Obrony Powietrznej Kraju	Cieszyńska 8	""Handball							"""
"SP nr 330 z oddziałami integracyjnymi im. Nauczycieli Tajnego Nauczania	Mandarynki 1	""Handball							"""
"SP nr 336 im. Janka Bytnara Rudego	W. Małcużyńskiego 4	""Handball							"""
"SP nr 34 im. Stanisława Dubois	L. Kruczkowskiego 12B	""Volleyball							"""
"SP nr 340 im. Profesora Bogusława Molskiego / Gimnazjum z Oddziałami Integracyjnymi nr 95 im. Ignacego Jana Paderewskiego	E. Lokajskiego 3	""Football							"""
"SP nr 353	Cieplarniana (W) 23	""Handball							"""
"SP nr 4 im. Władysława Broniewskiego	W. Sławka 9	""Football							"""
"SP nr 4 im. Władysława Broniewskiego - filia	Konińska 2	""Handball							"""
"SP nr 42 z Oddziałami Integracyjnymi im. K. I. Gałczyńskiego	Balkonowa 2/4	""Basketball							"""
"SP nr 46 im. Stefana Starzyńskiego	Wałbrzyska 5	""Volleyball							"""
"SP nr 52 im. Macieja Aleksego Dawidowskiego “ALKA”	Samarytanka 11/13	""Basketball							"""
"SP nr 53 im. gen. Mariusza Zaruskiego	Rudzka 6	""Handball							"""
"SP nr 60 im. Powstania Listopadowego	Zbaraska 3	""Volleyball							"""
"SP nr 63 im. Zawiszy Czarnego	Płocka 30	""Handball							"""
"SP nr 65 im. Władysława Orkana	Mścisławska 1	""Handball							"""
"SP nr 66 im. ks. Juliana Chrościckiego	Przepiórki 16/18	""Football							"""
"SP nr 70 z Oddziałami Integracyjnymi im. Bohaterów Monte Cassino	J. Bruna 11	""Basketball							"""
"SP nr 72 im. Przyjaciół Grochowa	Gen. M. Paca 44	""Volleyball							"""
"SP nr 75 im. Marii Konopnickiej	Niecała 14	""Volleyball							"""
"SP nr 77 im. Wandy Zieleńczyk	Samogłoski 9	""Football							"""
"SP nr 80 im. Marii Kownackiej	Aspekt 48	""Football							"""
"SP nr 81 im. Lucjana Rudnickiego	Puszczyka 6	""Volleyball							"""
"SP nr 84 im. Waleriana Łukasińskiego	Radzymińska 227	""Volleyball							"""
"SP nr 85 im. Benito Juareza	L. Narbutta 14	""Football							"""
"SP nr 88 im. Gabriela Narutowicza	Radarowa 4B	""Football							"""
"SP nr 92 im. Jana Brzechwy	Przasnyska 18A	""Handball							"""
"SP nr 94 im. I Marszałka Polski Józefa Piłsudskiego	Cietrzewia 22A	""Football							"""
"SP nr 96 im. Ireny Kosmowskiej	Sarabandy 16/22	""Handball							"""
"SP nr 97 im. Leona Kruczkowskiego	Spiska 1	""Volleyball							"""
"SP nr 98 z Oddziałami Integracyjnymi im. Lucy Maud Montgomery	A. Grottgera 22	""Football							"""
"SP z Oddziałami Integracyjnymi nr 14 im. Bohaterów Warszawy	Gen. K. Sosnkowskiego 10	""Football							"""
"SP z Oddziałami Integracyjnymi nr 216 Klonowego Liścia	Wolna 36/38	""Handball							"""
"SP z Oddziałami Integracyjnymi nr 223 im. Partyzantów Ziemi Kieleckiej	J. Kasprowicza 107	""Volleyball							"""
"SP z Oddziałami Integracyjnymi nr 247 im. Kazimierza Lisieckiego „Dziadka”	Wrzeciono 9	""Handball							"""
"SP z Oddziałami Integracyjnymi Nr 341 im. Twórców Literatury Dziecięcej	Oławska 3	""Volleyball							"""
"SP z Oddziałami Integracyjnymi nr 343 im. Matki Teresy z Kalkuty	S. Kopcińskiego 7	""Volleyball							"""
"SP z Oddziałami Integracyjnymi nr 61 im. Juliana Przybosia	Białobrzeska 27	""Handball							"""
"SP z Oddziałami Integracyjnymi nr 68 im. Artura Oppmana	Or-Ota 5	""Basketball							"""
"SP z Oddziałami Integracyjnymi Nr 82 im. Jana Pawła II	Górczewska 201	""Basketball							"""
"SP z Oddziałami Integracyjnymi nr 87 im. 7 PP AK „Garłuch”	Malownicza 31	""Football							"""
"SP z Oddziałami Integracyjnymi Nr 30 im. Powstańców 1863 r	Kawęczyńska 2	""Football							"""
"SP, Gimnazjum i LO Przymierza Rodzin im. Jana Pawła II (właściciel prywatny)	M. Grzegorzewskiej 10	""Handball							"""
